MaterialName,Category,AdditionalNotes,Quantity,NVL,BEN,PercentComplete,Fixture,AssetNumber,BEN4LPR,CurrentState,IndividuallyAssigned,LamPartNumber,LaptopAssignedBEDShift,LaptopAssignedBENShift,LaptopAssignedFEDShift,LaptopAssignedFENShift,LaptopAssignedMF,LaptopDepartment,RecordIDNumber,SerialNumber
39-179781-00,Other (Please describe),9 Pin Male DSUB Connector Plate,0,,,,0,,,Unavailable to Loan,0,39-179781-00,,,,,,,1910,
39-179782-00,Other (Please describe),15 Pin Male DSUB Connector Plate,21,,,,0,,,Available to Loan,0,39-179782-00,,,,,,,1911,
39-297329-02,Other (Please describe),25 Pin Male DSUB Connector Plate,46,,,,0,,,Available to Loan,0,39-297329-02,,,,,,,1916,
39-297330-04,Other (Please describe),78 HD Pin Female,1,,,,0,,,Available to Loan,0,39-297330-04,,,,,,,1926,
39-303342-00,Other (Please describe),"Connector, Coax, 1-7/16 Male, Quick Change Type",24,,,,0,,,Available to Loan,0,,,,,,,,2146,
39-303390-00,Other (Please describe),"C Female, Quick Change Type P",1,,,,0,,,Available to Loan,0,,,,,,,,2150,
39-316279-00,Other (Please describe),"Male, Amphenol, Box Mount Socket",3,,,,0,,,Available to Loan,0,,,,,,,,2114,
39-340297-00,Other (Please describe),"CONN,AC PWR,AMPHENOL 97,3 PIN,12AWG,S 16",0,,,,0,,,Unavailable to Loan,0,,,,,,,,2310,
39-340303-00,Other (Please describe),4P Male Connector,3,,,,0,,,Available to Loan,0,39-340303-00,,,,,,,1952,
39-343045-00,Other (Please describe),PED Heater Box Jumper,3,,,,0,,,Available to Loan,0,,,,,,,,2113,
39-347854-00,Other (Please describe),9P CPC Female Connector,10,,,,0,,,Available to Loan,0,39-347854-00,,,,,,,1941,
39-429232-00,Cables (Provide part number),Strain Relief Cord Connection,2,,,,0,,,Unavailable to Loan,0,39-429232-00,,,,,,,1698,
39AX51,Cables (Provide part number),4AWG Ferrule 39AX51,71,,,,0,,,Unavailable to Loan,0,MFG# 39AX51,,,,,,,1717,
39AX85,Cables (Provide part number),8AWG Ferrule,176,,,,0,,,Unavailable to Loan,0,MFG# 39AX85,,,,,,,1710,
39D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205441,,Cleanroom Item,0,,Eduardo Diaz-Calderon <59610751.dhft>,,Erick Marquez <63383614.bp7a>,,,Final Test,573,
39N,SWIC-Supported GIS Laptop,"T460
",1,,,,0,A205438,,Cleanroom Item,0,,,Kyle McEahern <59146933.cupq>,,,,Final Test,804,
3mm long hex bit,Tools- Hand Tools (Non-Calibrated),,15,,,,0,,,Available to Loan,0,,,,,,,,1031,
40D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205436,,Cleanroom Item,0,,Greg Pollash <62882625.dgxt>,,,,,Final Test,569,
40N,SWIC-Supported GIS Laptop,T460,0,,,,0,A205435,,Cleanroom Item,0,,,,,Michael Beck <62561580.dh2s>,,Final Test,568,
41D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205723,,Cleanroom Item,0,,,,Christopher Reynolds <62398519.syp4>,,,Final Test,578,
41N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205728,,Cleanroom Item,0,,,Randy Marino <59870618.dvie>,,Tommy Khon <62499848.d5pa>,,Final Test,409,
42N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205735,,Cleanroom Item,0,,,,,Daniel Weedman <63067544.d46d>,,Final Test,584,
43D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205722,,Cleanroom Item,0,,,,,,,Final Test,577,
43N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205742,,Cleanroom Item,0,,,,,Justin Perkins <60342058.uvnu>,,Final Test,805,
44D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205729,,Cleanroom Item,0,,Jasper Morris <62552828.dtm8>,,Karl Hummel <62499838.cyxh>,,,Final Test,581,
44N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205755,,Cleanroom Item,0,,,,,Shane Munoz <62858319.deyq>,,Final Test,1462,PC0JWCGS
45D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205736,,Cleanroom Item,0,,Cliff Chapman <60315405.caea>,,Jorge Vera Fuentes <63400886.by5t>,,,Final Test,585,
45N,SWIC-Supported GIS Laptop,IT Ticket created #INC0813460,0,,,,0,A205749,,In DOS for Repair,0,,,,,Chung Vinh Le <58394922.k9rn>,,Final Test,594,T460
48N,SWIC-Supported GIS Laptop,T460,0,,,,0,A205859,,Cleanroom Item,0,,,Sean La <59870612.cjs8>,,,,Final Test,612,
5-1478762-2,Other (Please describe),15 Pin Backshell,2,,,,0,,,Available to Loan,0,MFG# 5-1478762-2,,,,,,,1923,
5-50in./lbs torque driver NVL-17892,Tools- Torque Wrench,,1,17892,SPC,,0,,SPC,Cleanroom Item,0,,,,,,,,1033,
"5/16"" Lug MISC",Cables (Provide part number),,328,,,,0,,,Unavailable to Loan,0,,,,,,,,1708,
504-217158-001,Other (Please describe),Heater Resistance Test Fixture (Box),1,,,,0,,,Available to Loan,0,,,,,,,,2216,
515-072941-001,Other (Please describe),McMaster Tap and Drill Set,8,,,,0,,,Available to Loan,0,,,,,,,,2204,
515-228997-001,Other (Please describe),"Level Sensor Simulator Box, ALD",2,,,,0,,,Available to Loan,0,,,,,,,,2223,
515-322858-001,Other (Please describe),V1 Probe Gauge,4,,,,0,,,Available to Loan,0,,,,,,,,2142,
515-324345-001,Other (Please describe),V1 Probe Gauge,5,,,,0,,,Available to Loan,0,,,,,,,,2141,
518-300760-001,Other (Please describe),"Striker Carbide Lift Adapter, RPC Tube",0,,,,0,,,Unavailable to Loan,0,,,,,,,,2144,
525-246947-00,Other (Please describe),D-9 (2/3),1,,,,0,,,Available to Loan,0,525-246947-00,,,,,,,1988,
525-246948-001/B,Other (Please describe),,1,,,,0,,,Available to Loan,0,,,,,,,,2066,A1110P16 SABRE (VPM)
525-246955-001,Other (Please describe),"D-9 (1/6, 2/7, 3/8)",8,,,,0,,,Available to Loan,0,,,,,,,,2029,
525-246963-001,Other (Please describe),"D-25 (8/20, 9/21, 10/22, 13/25)",0,,,,0,,,Unavailable to Loan,0,525-246963-001,,,,,,,2000,
525-246965-001,Other (Please describe),"D-25 (1/4, 2/5, 3/6, 8/21, 9/22, 10/17, 11/18, 12/19)",1,,,,0,,,Available to Loan,0,525-246965-001,,,,,,,2007,
525-293072-001,Other (Please describe),"D37 (15/33, 16/34, 17/35, 18/36, 19/37)",2,,,,0,,,Available to Loan,0,,,,,,,,2090,
525-293073-001,Other (Please describe),"D37 (15/34, 16/35, 17/36)",2,,,,0,,,Available to Loan,0,,,,,,,,2089,
525-293074-001,Other (Please describe),"D-25 (8/21, 9/22, 11/24, 12/25)",2,,,,0,,,Available to Loan,0,525-293074-001,,,,,,,1998,
525-293075-001,Other (Please describe),"D-25 (8/20, 9/21, 10/22)",6,,,,0,,,Available to Loan,0,,,,,,,,2088,
525-293076-001,Other (Please describe),"D-25 (1/4, 2/5, 3/6, 17/23, 18/24, 19/25)",2,,,,0,,,Available to Loan,0,525-293076-001,,,,,,,2003,
525-293077-001,Other (Please describe),D50 A38P1/Jumper 5-9,0,,,,0,,,Unavailable to Loan,0,,,,,,,,2091,
525-293078-001,Other (Please describe),Female D-9 (2/7),6,,,,0,,,Available to Loan,0,525-293078-001,,,,,,,1985,
525-293161-001,Other (Please describe),"HD-15 (2/9, 3/10, 4/11)",7,,,,0,,,Available to Loan,0,,,,,,,,2082,
525-293358-001,Other (Please describe),"D-9 (1/6, 2/3, 4/5, 7/8)",10,,,,0,,,Available to Loan,0,525-293358-001,,,,,,,2012,
525-293359-001,Other (Please describe),HD-26-J100,23,,,,0,,,Available to Loan,0,,,,,,,,2077,
525-293360-001,Other (Please describe),"HD-25 (1/2, 6/7, 10/11)",8,,,,0,,,Available to Loan,0,,,,,,,,2083,
525-313319-001,Other (Please describe),D-15 (4/5),16,,,,0,,,Available to Loan,0,525-313319-001,,,,,,,1986,
525-323799-001,Other (Please describe),"HD-15 (6/11, 7/12, 8/13, 9/14, 10/15)",15,,,,0,,,Available to Loan,0,,,,,,,,2075,
525-337906-001,Other (Please describe),"Heater Resistance Cable, TST, FXTR, HTR, ULPB",1,,,,0,,,Available to Loan,0,525-337906-001,,,,,,,1955,
525-A21802-001,Other (Please describe),Vacuum Jumper (1-4) Strata HX,14,,,,0,,,Available to Loan,0,,,,,,,,2103,
525-A21805-001,Other (Please describe),Vacuum Jumper (B-C) Strata HX,25,,,,0,,,Available to Loan,0,,,,,,,,2102,
525-A25706-001,Other (Please describe),D-9 (4/8),18,,,,0,,,Available to Loan,0,525-A25706-001,,,,,,,1990,
525-A25712-01,Other (Please describe),Chamber Heater TC to OC,9,,,,0,,,Available to Loan,0,,,,,,,,2107,
525-A40415-01,Other (Please describe),"PED STN 1, 2, 4 TC to OC",10,,,,0,,,Available to Loan,0,,,,,,,,2106,
525-A44464-01,Other (Please describe),Leak Detect Jumper,9,,,,0,,,Available to Loan,0,,,,,,,,2104,
525-A46520-001,Other (Please describe),,1,,,,0,,,Available to Loan,0,,,,,,,,2136,S5R Heater Resistance Adapter
525-A46759-01,Other (Please describe),PED STN 3TC to OC,10,,,,0,,,Available to Loan,0,,,,,,,,2105,
525-A61026-001,Other (Please describe),"D-25 Abatement Jumper (1/23, 2/24, 3/25, 8/21, 9/22)",30,,,,0,,,Available to Loan,0,525-A61026-001,,,,,,,2008,
525-A61026-002,Other (Please describe),"D-25 (2/11, 3/12, 8/21, 9/22, 10/23)",4,,,,0,,,Available to Loan,0,,,,,,,,2085,
525-A68681-001,Other (Please describe),D15 (4/7),10,,,,0,,,Available to Loan,0,,,,,,,,2025,
525-A72776-001,Other (Please describe),"D-15 (1/2, 3/4, 5/6, 7/8, 9/10)",2,,,,0,,,Available to Loan,0,,,,,,,,2064,
525-A82344-001,Other (Please describe),D9 (1/3),10,,,,0,,,Available to Loan,0,,,,,,,,2014,
538DDU50S,Other (Please describe),50 Pin Female,13,,,,0,,,Available to Loan,0,MFG# 538DDU50S,,,,,,,1915,
5427UB,Cables (Provide part number),"1/4"" 90 Degree AWG Lug",4,,,,0,,,Unavailable to Loan,0,,,,,,,,1704,
551-015,Other (Please describe),Leak Check Remote,2,,,,0,,,Available to Loan,0,,,,,,,,2160,
5745173-4,Other (Please describe),25 Pin Backshell,0,,,,0,,,Unavailable to Loan,0,MFG# 5745173-4,,,,,,,1920,
5748677-1,Other (Please describe),9 Pin Backshell,1,,,,0,,,Available to Loan,0,MFG# 5748677-1,,,,,,,1924,
5749193-1,Other (Please describe),50 Pin Backshell,2,,,,0,,,Available to Loan,0,MFG# 5749193-1,,,,,,,1930,
57N,SWIC-Supported GIS Laptop,"T470
",1,,,,0,A301188,,Cleanroom Item,0,,,Chris Hedges <60341628.zqsn>,,,,Final Test,671,PF0U5R2P
5NRY0,Other (Please describe),"SMC 1/8"" Tube Stem Orange",14,,,,0,,,Available to Loan,0,,,,,,,,2061,
5NRY3,Other (Please describe),"SMC 1/4"" Tube Stem Orange",25,,,,0,,,Available to Loan,0,,,,,,,,2062,
60-119194-00,Other (Please describe),"1/2"" Port to 1/2"" NPT",1,,,,0,,,Available to Loan,0,60-119194-00,,,,,,,1778,
60-119288-00,Other (Please describe),"Y Reduction Union SMC 1/8, 1/8, 1/4",19,,,,0,,,Available to Loan,0,,,,,,,,2054,
60-179309-00,Other (Please describe),"Male Elbow 1"" tube OD x 3/4"" Male NPT",3,,,,0,,,Available to Loan,0,60-179309-00,,,,,,,1759,
663-290162-001,Other (Please describe),PED Leveling Battery,1,,,,0,,,Available to Loan,0,,,,,,,,2157,
668-006723-001,Other (Please describe),CPC CLP Shell,6,,,,0,,,Available to Loan,0,668-006723-001,,,,,,,1942,
668-006723-007,Other (Please describe),CLP CPC Straight Shell,7,,,,0,,,Available to Loan,0,668-006723-007,,,,,,,1932,
668-006724-005,Other (Please describe),16P CPC Female Connector,13,,,,0,,,Available to Loan,0,668-006724-005,,,,,,,1943,
668-094907-015,Other (Please describe),15 HD Pin Male,55,,,,0,,,Available to Loan,0,668-094907-015,,,,,,,1929,
668-094907-026,Other (Please describe),26 HD Pin Male,16,,,,0,,,Available to Loan,0,668-094907-026,,,,,,,1928,
668-120236-001,Other (Please describe),"Female, Quick Change, Bulkhead, QC, M",53,,,,0,,,Available to Loan,0,,,,,,,,2149,
668-199018-001,Other (Please describe),LC Female to HN Male,9,,,,0,,,Available to Loan,0,,,,,,,,2181,
668-225309-050,Other (Please describe),50 Pin Male,26,,,,0,,,Available to Loan,0,668-225309-050,,,,,,,1912,
668-232279-001,Other (Please describe),7/16 DIN Male to HN Female,1,,,,0,,,Available to Loan,0,,,,,,,,2182,
668-304444-001,Other (Please describe),"Adapter, Male to Female",42,,,,0,,,Available to Loan,0,,,,,,,,2125,
679-160820-002,Other (Please describe),H2 Cartridge,3,,,,0,,,Available to Loan,0,,,,,,,,2198,
679-A19549-001,Other (Please describe),ESC Static Meter,2,,,,0,,,Available to Loan,0,,,,,,,,2196,
681-023463-001,Other (Please describe),HN Male to HN Male,5,,,,0,,,Available to Loan,0,,,,,,,,2183,
683-161428-001,Other (Please describe),Manometer,1,,,,0,,,Available to Loan,0,,,,,,,,2175,
683-182343-001,Other (Please describe),D-15 (11/12),16,,,,0,,,Available to Loan,0,683-182343-001,,,,,,,1974,
684-203756-010,Other (Please describe),T/C Extension Cable,21,,,,0,,,Available to Loan,0,,,,,,,,2108,
684-203756-610,Other (Please describe),T/C Extension Cable,36,,,,0,,,Available to Loan,0,,,,,,,,2110,
684-203756-910,Other (Please describe),"M to F Extension (Micro) CA, TC, K, EXT, F-M, SPMW-SMP",4,,,,0,,,Available to Loan,0,,,,,,,,2109,
684-235765-001,Cables (Provide part number),"RF Coax Cable, N Type, LMR195 48""",1,,,,0,,,Available to Loan,0,,,,,,,,2161,
71-259666-00,Other (Please describe),"Transfer Plate, Clearance",5,,,,0,,,Available to Loan,0,,,,,,,,2155,
713-209590-001,Other (Please describe),"Grapple, Cool PED, Lifting Adapter",4,,,,0,,,Available to Loan,0,,,,,,,,2219,
713-A19280-002,Other (Please describe),"Fixture, Valve Assy, Striker Oxide, EP/EH",2,,,,0,,,Available to Loan,0,,,,,,,,2131,
713-A53912-001,Other (Please describe),Hoist Lock Scratch Guard,6,,,,0,,,Available to Loan,0,,,,,,,,2215,
715-215659-001,Other (Please describe),"Fixture, Alignment, Lift Pin Assy, Q Strata ",4,,,,0,,,Available to Loan,0,,,,,,,,2134,
715-248638-014,Other (Please describe),Striker Carbide Wafer Lift Pin Kit Fixture,3,,,,0,,,Available to Loan,0,,,,,,,,2207,
716-317331-001,Other (Please describe),Wafer List Pin Kit Fixture,2,,,,0,,,Available to Loan,0,,,,,,,,2208,
722-062820-001,Other (Please describe),"1/4"" Ultra Torr Fitting",93,,,,0,,,Available to Loan,0,,,,,,,,2128,
766-07869-004,Other (Please describe),"Valve, Ball, 1/4"" Straight SST",2,,,,0,,,Available to Loan,0,766-07869-004,,,,,,,1884,
771-291632-001,Other (Please describe),Feeler Gauge,3,,,,0,,,Available to Loan,0,,,,,,,,2209,
772-112974-001,Other (Please describe),"SMC/In-line Speed Control Valve, 1/4"" Valve Port Helium Fitting ",4,,,,0,,,Available to Loan,0,,,,,,,,2195,
78 Pin Breakout Cable,Cables- Breakout,,0,,2165751C,66T,0,,2165751C,Unavailable to Loan,0,,,,,,,,297,
78 Pin Breakout Cable #2,Cables- Breakout,,1,,,,0,,,Available to Loan,0,,,,,,,,1042,
7925K22,Other (Please describe),Shielded Computer Cord DB9/Male x DB9 Female,26,,,,0,,,Available to Loan,0,7925K22,,,,,,,1956,
796-060365-004,Other (Please describe),"Connector, Tube/MNPT - 1/2"" x 1/2MNPT",6,,,,0,,,Available to Loan,0,796-060365-004,,,,,,,1882,
796-060847-001,Other (Please describe),"1/4"" VCR Cap",259,,,,0,,,Available to Loan,0,796-060847-001,,,,,,,1741,
796-060847-002,Other (Please describe),,65,,,,0,,,Available to Loan,0,796-060847-002,,,,,,,1745,"1/2"" VCR Cap"
796-061203-007,Other (Please describe),"3/4"" Port Connector",12,,,,0,,,Available to Loan,0,796-061203-007,,,,,,,1813,
796-062126-005,Other (Please describe),"1"" Push On",9,,,,0,,,Available to Loan,0,796-062126-005,,,,,,,1905,
796-097376-001,Other (Please describe),"Connector, BHD, Tube Butt Weld",3,,,,0,,,Available to Loan,0,796-097376-001,,,,,,,1881,
796-187186-001,Other (Please describe),"1"" Male to 1/2"" Male Union",7,,,,0,,,Available to Loan,0,,,,,,,,1831,
813-A50077-001,Other (Please describe),"Signal Generator Cover, 3D Printed",1,,,,0,,,Available to Loan,0,,,,,,,,2151,
853-151201-001,Other (Please describe),D78/A4P2,7,,,,0,,,Available to Loan,0,,,,,,,,2036,
853-160216-001,Other (Please describe),Water Manifold Jumper 5/6,157,,,,0,,,Available to Loan,0,,,,,,,,2127,
853-179602-003,Cables (Provide part number),VDP Power Cable,1,,,,0,,,Available to Loan,0,VDP Power Cable,,,,,,,1686,
853-180657-001,Other (Please describe),D78 TEOSXT,15,,,,0,,,Available to Loan,0,853-180657-001,,,,,,,1967,
853-184795-001,Other (Please describe),D78/A4P2,8,,,,0,,,Available to Loan,0,,,,,,,,2051,
853-194870-001,Other (Please describe),"Cable, SIG, J3, Extension, Emulator, Strata, VXL",2,,,,0,,,Available to Loan,0,,,,,,,,2217,
853-194871-001,Cables (Provide part number),GBE Adapter Jumper Cable,20,,,,0,,,Available to Loan,0,,,,,,,,2166,
853-194871-002,Cables (Provide part number),GBE Adapter Jumper Cable,5,,,,0,,,Available to Loan,0,,,,,,,,2165,
853-194872-001,Other (Please describe),"Cable, SIG, Bank A, Extension, Emulator, VXL",5,,,,0,,,Available to Loan,0,,,,,,,,2218,
853-196641-002,Other (Please describe),D78 AHM-G/AHM-GX,18,,,,0,,,Available to Loan,0,853-196641-002,,,,,,,1979,
853-196642-00,Other (Please describe),D78/A4P4,7,,,,0,,,Available to Loan,0,,,,,,,,2050,
853-196642-001,Other (Please describe),D-78 AHM-G/AHM-GX,10,,,,0,,,Available to Loan,0,853-196642-001,,,,,,,1980,
853-196715-002,Other (Please describe),D-50 (23/24),1,,,,0,,,Available to Loan,0,,,,,,,,2047,
853-207059-001,Other (Please describe),"D-9 (3/7, 4/8, 5/9)",49,,,,0,,,Available to Loan,0,853-207059-001,,,,,,,1962,
853-207068-001,Other (Please describe),"D-15 (2/9, 3/10, 4/11)",40,,,,0,,,Available to Loan,0,853-207068-001,,,,,,,1957,
853-207071-001,Other (Please describe),"D-15 (1/9, 2/10, 3/11)",42,,,,0,,,Available to Loan,0,853-207071-001,,,,,,,1958,
853-207620-002,Other (Please describe),Continuous Ampole Series Controller for VXL MD Mod ,15,,,,0,,,Available to Loan,0,,,,,,,,2132,
853-230990-001,Other (Please describe),D-15 (8/15),3,,,,0,,,Available to Loan,0,,,,,,,,2032,
853-256029-002,Cables (Provide part number),EIOC Pneumatic D Cable,7,,,,0,,,Available to Loan,0,,,,,,,,2206,
853-264863-002,Other (Please describe),3 Pin Molex,53,,,,0,,,Available to Loan,0,,,,,,,,2124,
853-268807-001,Other (Please describe),D78/A4J2,3,,,,0,,,Available to Loan,0,,,,,,,,2046,
853-284824-001,Cables (Provide part number),Strata GBE Cable,4,,,,0,,,Available to Loan,0,,,,,,,,2168,
853-28581-001,Other (Please describe),Female D-25 (12/25),1,,,,0,,,Available to Loan,0,853-28581-001,,,,,,,2004,
853-290857-002,Other (Please describe),D-15 (12/13),15,,,,0,,,Available to Loan,0,,,,,,,,2026,
853-297206-001,Other (Please describe),RF Rack Power Cable Splitter,6,,,,0,,,Available to Loan,0,,,,,,,,2210,
853-298246-001,Cables (Provide part number),VDP Power Cable,3,,,,0,,,Available to Loan,0,VDP Power Cable,,,,,,,1981,
853-298247-001,Cables (Provide part number),HF Generator Power Cable,5,,,,0,,,Available to Loan,0,HF Generator Power Cable,,,,,,,1982,
853-298248-001,Cables (Provide part number),LF Generator Power Cable,3,,,,0,,,Available to Loan,0,LF Generator Power Cable,,,,,,,1983,
853-298455-001,Other (Please describe),D-25 (12/25),25,,,,0,,,Available to Loan,0,853-298455-001,,,,,,,1961,
853-305550-001,Other (Please describe),"D-15 (2/9, 3/10, 4/11, 6/13)",17,,,,0,,,Available to Loan,0,,,,,,,,2022,
853-305551-001,Other (Please describe),D-15 (5/12),26,,,,0,,,Available to Loan,0,,,,,,,,2020,
853-307185-001,Other (Please describe),ESC Jumper Kit,2,,,,0,,,Available to Loan,0,,,,,,,,2197,
853-313002-001,Other (Please describe),"D-15 (3/10, 4/11, 5/12, 6/13)",6,,,,0,,,Available to Loan,0,,,,,,,,2024,
853-313320-001,Other (Please describe),D-15 (1/4),17,,,,0,,,Available to Loan,0,,,,,,,,2030,
853-313322-001,Other (Please describe),"D-15 (2/9, 3/10, 4/11, 5/12, 7/14)",13,,,,0,,,Available to Loan,0,,,,,,,,2028,
853-316687-001,Other (Please describe),D9 (5/9),8,,,,0,,,Available to Loan,0,853-316687-001,,,,,,,1971,
853-316699-001,Other (Please describe),D-9 (3/7),30,,,,0,,,Available to Loan,0,853-316699-001,,,,,,,1959,
853-317011-001,Other (Please describe),D-9 (5/6),18,,,,0,,,Available to Loan,0,853-317011-001,,,,,,,1964,
853-317013-001,Other (Please describe),D-9 (1/16),25,,,,0,,,Available to Loan,0,853-317013-001,,,,,,,1976,
853-317014-001,Other (Please describe),"D-9 (2/6, 3/7, 4/8, 5/9)",11,,,,0,,,Available to Loan,0,853-317014-001,,,,,,,2011,
853-317015-001,Other (Please describe),D-9 (1/5),17,,,,0,,,Available to Loan,0,853-317015-001,,,,,,,1973,
853-317016-001,Other (Please describe),"D-9 (2/7, 5/8)",3,,,,0,,,Available to Loan,0,853-317016-001,,,,,,,2013,
853-317018-001,Other (Please describe),"D9 (2/6, 3/7, 4/8/9)",1,,,,0,,,Available to Loan,0,,,,,,,,2015,
853-317019-001,Other (Please describe),"D-9 (3/7, 5/9)",8,,,,0,,,Available to Loan,0,,,,,,,,2073,
853-317020-001,Other (Please describe),"D-15 (2/9, 4/11, 5/12)",6,,,,0,,,Available to Loan,0,,,,,,,,2023,
853-317021-001,Other (Please describe),"D-15 (2/9, 4/11)",1,,,,0,,,Available to Loan,0,,,,,,,,2017,
853-317024-001,Other (Please describe),"D-15 (2/9, 3/10, 4/11, 5/12)",2,,,,0,,,Available to Loan,0,,,,,,,,2019,
853-317025-001,Other (Please describe),D-15 (4/11),6,,,,0,,,Available to Loan,0,,,,,,,,2021,
853-317027-001,Other (Please describe),"D-25 (9/22, 11/24, 12/25)",4,,,,0,,,Available to Loan,0,,,,,,,,2086,
853-317765-001,Other (Please describe),"D-25 Pin (1/4, 4/17)",30,,,,0,,,Available to Loan,0,853-317765-001,,,,,,,1972,
853-317766-001,Other (Please describe),"D-15 (2/10, 5/13, 8/15)",18,,,,0,,,Available to Loan,0,853-317766-001,,,,,,,1970,
853-328429-003,Other (Please describe),"AC Jumper, DTC",16,,,,0,,,Available to Loan,0,,,,,,,,2034,
853-328430-003,Other (Please describe),"AC Jumper, DTC",16,,,,0,,,Available to Loan,0,,,,,,,,2035,
853-336270-001,Other (Please describe),"Cable, SIG, 10C4, Pneumatic G, DPK, EXT",3,,,,0,,,Available to Loan,0,,,,,,,,2212,
853-336271-001,Other (Please describe),"Cable, AC, AUX, LPB, AMPDS, EXT",2,,,,0,,,Available to Loan,0,,,,,,,,2213,
853-345821-001,Other (Please describe),TC to Male DSUB,1,,,,0,,,Available to Loan,0,,,,,,,,2119,
853-346526-001,Other (Please describe),TC to Female DSUB,0,,,,0,,,Unavailable to Loan,0,,,,,,,,2117,
853-376371-001,Other (Please describe),D-78 Core/AMPDS,15,,,,0,,,Available to Loan,0,853-376371-001,,,,,,,1966,
853-407432-00,Other (Please describe),4 Pin Molex,18,,,,0,,,Available to Loan,0,,,,,,,,2123,
853-A00595-001,Other (Please describe),"HD-26 (12/20, 14/22, 16/24, 18/26)",3,,,,0,,,Available to Loan,0,,,,,,,,2078,
853-A02981-001,Other (Please describe),"D-25 Pin (2/15, 5/18, 8/21, 11/24)",25,,,,0,,,Available to Loan,0,853-A02981-001,,,,,,,1963,
853-A05658-001,Other (Please describe),D15 (1/6),0,,,,0,,,Unavailable to Loan,0,,,,,,,,2018,
853-A05661-01,Other (Please describe),"D37 (1/22, 7/28)",0,,,,0,,,Unavailable to Loan,0,,,,,,,,2094,
853-A07186-001,Other (Please describe),"D-15 (5/6, 13/14)",4,,,,0,,,Available to Loan,0,,,,,,,,2016,
853-A21917-002,Cables (Provide part number),UPS Power,2,,,,0,,,Available to Loan,0,UPS Power,,,,,,,1688,
853-A26174-201,Other (Please describe),D-9 (4/9),10,,,,0,,,Available to Loan,0,853-A26174-201,,,,,,,1975,
853-A39617-001,Other (Please describe),Lift Pin Motor Brake Release Kit,1,,,,0,,,Available to Loan,0,,,,,,,,2201,
853-A52239-001,Other (Please describe),PED Filter Box Testing Cable (1/2),4,,,,0,,,Available to Loan,0,,,,,,,,2138,
853-A70068-000,Cables (Provide part number),Power Cable A10,0,,,,0,,,Unavailable to Loan,0,Power Cable A10,,,,,,,1683,
853-A70068-001,Cables (Provide part number),Power Cable A10,0,,,,0,,,Unavailable to Loan,0,,,,,,,,2247,
853-A70146-001,Cables (Provide part number),Cable AHM-H specific,0,,,,0,,,Unavailable to Loan,0,,,,,,,,2246,
853-A70158-001,Cables (Provide part number),STRATA Specific,2,,,,0,,,Available to Loan,0,STRATA Specific,,,,,,,1692,
853-A70162-001,Cables (Provide part number),Power Cable Z,12,,,,0,,,Available to Loan,0,Power Cable Z,,,,,,,1682,
853-A70169-001,Cables (Provide part number),Power Cable C,3,,,,0,,,Available to Loan,0,Power Cable C,,,,,,,1673,
853-A70173-000,Cables (Provide part number),Power Cable J,5,,,,0,,,Available to Loan,0,Power Cable J,,,,,,,1680,
853-A70256-001,Cables (Provide part number),Power Cable Y,4,,,,0,,,Available to Loan,0,Power Cable Y,,,,,,,1681,
853-A70282-001,Cables (Provide part number),Power Cable D,4,,,,0,,,Available to Loan,0,Power Cable D,,,,,,,1674,
853-A70408-001,Cables (Provide part number),Power Cable G,8,,,,0,,,Available to Loan,0,Power Cable G,,,,,,,1676,
853-A70628-000,Cables (Provide part number),UPS Control Power,3,,,,0,,,Available to Loan,0,UPS Control Power,,,,,,,1689,
853-A70751-001,Cables (Provide part number),VDP Power Cable,2,,,,0,,,Available to Loan,0,VDP Power Cable,,,,,,,1685,
853-A71173-001,Cables (Provide part number),Power Cable A,3,,,,0,,,Available to Loan,0,Power Cable A,,,,,,,1671,
853-A71256-000,Cables (Provide part number),Power Cable E,0,,,,0,,,Unavailable to Loan,0,Power Cable E,,,,,,,1675,
853-A71256-001,Cables (Provide part number),Striker Carbide Specific,1,,,,0,,,Available to Loan,0,STRK Carbide Specific,,,,,,,1691,
853-A71270-000,Cables (Provide part number),Power Cable H2,9,,,,0,,,Available to Loan,0,Power Cable H2,,,,,,,1679,
853-A79266-001,Cables (Provide part number),Power Cable E SABRE,0,,,,0,,,Unavailable to Loan,0,,,,,,,,2248,
853-A80373-001,Other (Please describe),RF Rack Conversion Cables,4,,,,0,,,Available to Loan,0,,,,,,,,2135,
853-A85009-001,Other (Please describe),D-15 (2/12),0,,,,0,,,Unavailable to Loan,0,853-A85009-001,,,,,,,1999,
857-268480-001,Other (Please describe),Continuity Tester,6,,,,0,,,Available to Loan,0,,,,,,,,2200,
857-344936-001,Other (Please describe),Ampule Level Sensor,0,,,,0,,,Unavailable to Loan,0,,,,,,,,2137,
857-A39643-001,Other (Please describe),"Kit, Chamber, Testing, EBR",1,,,,0,,,Available to Loan,0,,,,,,,,2205,
